Unnamed: 0,city,activity_name,activity_description,ID,prompt
92,"Barcelona, Spain",Adaptació de la cartelleria de la jornada a les pautes de lectura fàcil,"Revisió de la cartelleria de la jornada al barri de Les Corts per veure si s'adapta a les pautes europees de lectura fàcil (per a TEA)
Revisarem la cartelleria abans de que es pengi i la completarem amb pictogrames o infogrames.",92,"This is an event called 'Adaptation of the postering of the day to easy -to -read guidelines', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Revision of the postering of the day in the district of Les Corts to see if it adapts to the European Easy Reading Guidelines (for ASD)
We will review the postering before hanging and we will complete it with pictograms or infograms.'"
93,"Barcelona, Spain",Portes Obertes al Rusc o comunitat de consum de Les Corts - Can Deu,"El Rusc de Les Corts - Can Deu obrirà les seves portes per acollir els veïns del barri durant la recollida de cistelles de productes locals per part dels consumidors d'aquesta comunitat de consum. Hi hauran presents els productors: El Petit Bané (pagès del Maresme), Cal Tomàs (elaborador d'embotits), Cabrit de Rasquera (formatges de cabra) i Clot de les Soleres (vi natural)  i s'oferirà un petit tast. 
A un nivell més global, El Rusc Que Diu Sí! potenciarà durant la Setmana de la Mobilitat l'entrega a domicili en bicicleta de totes les comandes dels diferents Ruscs de Barcelona, amb un descompte en el preu del servei.
a Plaça de la Concòrdia, 13 - Jardí de Can Deu 08014 Barcelona De 17:30 a 19:30h
""El Rusc de Les Corts - Can Deu

> enllaçat a https://lacolmenaquedicesi.es/ca-ES/assemblies/8905?utm_campaign=ua-es&utm_medium=partner&utm_source=ajuntament_barcelona_cat""",93,"This is an event called 'Doors open to the hive or consumer community of the Corts - Can Deu', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The Corts - Can Deu hive will open its doors to house the neighbors in the neighborhood during the collection of local products by consumers in this consumer community.The producers will be present: the Petit Bané (Pagès del Maresme), Cal Tomàs (Embotites), Rasquera goat (goat cheeses) and Clot de les Soleres (natural wine) and a small tasting will be offered. 
At a more global level, the hive that says yes!During the Mobility Week, the bicycle delivery of all the orders of the different hives of Barcelona, ​​with a discount on the price of the service.
In Plaça de la Concordia, 13 - Can Deu Garden 08014 Barcelona from 17:30 to 19: 30h
""The Corts Hive - Can Deu

> Link to https://lacolmenaquedicesi.es/ca-es/assembies/8905?utm_campaign=ua-ES&utm_medium=partner&utm_Source=ajuntament_Barcelona_cat ""'"
94,"Barcelona, Spain",JUGUEM AL CARRER,"Tot l'alumnat de l'escola sortirà pels carrers del voltant de l'escola (C/ Sant Magí, C/ Montroig, Plaça de la Torre, C/ de la Torre i lateral de General Mitre) a realitzar diferents jocs i activitats al carrer organitzats pels mestres. de 8:00 a13:00h i de 15:00 a 17:00h
inscripció prèvia a 
cgarcia@iconcepcionistas.es      mmccbcn@concepcionistas.es",94,"This is an event called 'We play on the street', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'All the students of the school will leave the streets around the school (C/ Sant Magí, C/ Montroig, Plaza de la Torre, C/ de la Torre and Side of General Miter) to perform different games and activities in theStreet organized by the teachers.8:00 A13: 00h and from 15:00 to 17:00
Pre -registration at 
cgarcia@iconceptacionistas.es mmcbcn@concempionistas.es'"
95,"Barcelona, Spain",Lurdes al carrer,"""Els diferents cicles de l'escola sortiran als carrers tallats a realitzar diferents activitats lúdico festives.
Estem acabant de concretar les activitats que es realitzaran.""
a carrers Líncoln i Via Augusta (entre Madrazo i Laforja).
De 10 a 13h.",95,"This is an event called 'Lurdes on the street', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""The different cycles of the school will go out to the streets cut to carry out different festive leisure activities.
We are just completing the activities that will be carried out. ""
In streets Lícoln and Via Augusta (between Madrazo and Laforja).
10am to 1pm.'"
96,"Barcelona, Spain",Reclamem el nostre pati,"""Tancarem el pati on aparquen les famílies pel matí una mica més d'hora i hi farem activitats lúdico-festives durant per reclamar l'ús de l'espai com a esbarjo i no com a pàrquing. Penjarem pancartes per demanar que es tingui cura dels arbres per no fer-los malbé amb els cotxes, per promoure el transport sostenible per venir a l'escola i posar de relleu que els nens juguen en aquest espai i que, per salut i per conservar l'entorn en bones condicions, cal evitar utilitzar-lo com a pàrquing.
També en farem difusió a les xarxes de l'escola i escriurem un correu a les famílies per anunciar la iniciativa i demanar que en la Setmana de la mobilitat utilitzin mitjans de transport alternatius i sostenibles.""
a C/Sagrat Cor 25 de 8h45 - 16h",96,"This is an event called 'We claim our patio', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""We will close the patio where families park in the morning a little earlier and we will do leisure-Festive activities during to claim the use of space as recreation and not as a parkingOf the trees not to spoil them with cars, to promote sustainable transport to come to school and to highlight that children play in this space and that, for health and to preserve the environment in good condition.Avoid using it as a parking lot.
We will also disseminate it to the school networks and write an email to families to announce the initiative and ask that in the week of mobility use alternative and sustainable means of transport. ""
A c/Sagrat Cor 25 of 8h45 - 16h'"
97,"Barcelona, Spain",Fem classe al carrer,"Sortirem al carrer de davant de l'escola per fer classes: observació i investigació de les plantes que hi ha, activitats de mesura del carrer, dibuix de la façana de l'escola...
a Carrer Vendrell 1 de 9-17h
Activitat dirigida a l'alumnat de l'escola.",97,"This is an event called 'We teach on the street', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We will go out on the street in front of the school to teach: observation and research of the plants there, street measurement activities, drawing of the facade of the school ...
At Vendrell Street 1-17h
Activity aimed at the students of the school.'"
98,"Barcelona, Spain",Portes Obertes al Rusc o comunitat de consum de Sarrià - Pastel y Papel,"""El Rusc de Sarrià - Pastel y Papel obrirà les seves portes per acollir els veïns del barri durant la recollida de cistelles de productes locals per part dels consumidors d'aquesta comunitat de consum. Hi haurà la productora de Menjamiques (elaborats amb garrofa) i s'oferirà un petit tast. 
A un nivell més global, El Rusc Que Diu Sí! potenciarà durant la Setmana de la Mobilitat l'entrega a domicili en bicicleta de totes les comandes dels diferents Ruscs de Barcelona, amb un descompte en el preu del servei.""
a Bonaplata, 51 08034 Barcelona De 17:30 a 19:30h
Cal inscripció a  
""El Rusc de Sarrià - Pastel y Papel

(enllaçat a https://lacolmenaquedicesi.es/ca-ES/assemblies/140?utm_campaign=ua-es&utm_medium=partner&utm_source=ajuntament_barcelona_cat)""",98,"This is an event called 'Doors open to the beehive or consumer community of Sarrià - Pastel y Papel', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""The beehive of Sarrià - Pastel y Papel will open its doors to accommodate the neighbors of the neighborhood during the collection of local products by consumers of this consumer community. There will be the producer of Menjamiques (made with carob) andA small tasting will be offered. 
At a more global level, the hive that says yes!During the Mobility Week, the bicycle delivery of all the orders of the different hives of Barcelona, ​​with a discount on the price of the service. ""
In Bonaplata, 51 08034 Barcelona from 17:30 to 19:30
Registration is required at  
""The beehive of Sarrià - Pastel y Papel

(Linked to https://lacolmenaquedicesi.es/ca-es/assembies/140?utm_campaign=ua-ES&utm_medium=partner&utm_Source=ajuntament_Barcelona_cat) ""'"
99,"Barcelona, Spain",El Guinardó Respira! 27/09,"""El barri del Guinardó surt al carrer per reivindicar l’aire i la salut per al planeta Terra amb una gimcana conformada per diverses proves, activitats i jocs familiars en relació amb la sostenibilitat i el medi ambient!
Comptarem amb el circuit de Biciclot i també ens esperen sorpreses, premis i molt més! I tu, com t’imagines un barri més sostenible?""
a Plaça Salvador Riera, 2 A partir de les 17 h",99,"This is an event called 'Guinardó breathes!09/27', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""The Guinardó district goes out to claim the air and health for the planet Earth with a gymkhana formed by various tests, activities and family games in relation to sustainability and the environment!
We will have the bicycle circuit and we are also waiting for surprises, prizes and more!And how do you imagine a more sustainable neighborhood? ""
In Plaza Salvador Riera, 2 from 5 pm'"
100,"Barcelona, Spain",Portes Obertes al Rusc o comunitat de consum de Guinardó - Casa Verde,"""El Rusc Guinardó - Casa Verde obrirà les seves portes per acollir els veïns del barri durant la recollida de cistelles de productes locals per part dels consumidors d'aquesta comunitat de consum. Hi haurà present el productor: El Petit Bané (pagès del Maresme) i s'oferirà un petit tast. 
A un nivell més global, El Rusc Que Diu Sí! potenciarà durant la Setmana de la Mobilitat l'entrega a domicili en bicicleta de totes les comandes dels diferents Ruscs de Barcelona, amb un descompte en el preu del servei.""
a Carrer Garriga i Roca, 8 08041 Barcelona De 17:00 a 20:00h
cal inscripció a  ""web del Rusc Guinardó - Casa Verde 

(enllaçat a: https://lacolmenaquedicesi.es/ca-ES/assemblies/12760?utm_campaign=ua-es&utm_medium=partner&utm_source=ajuntament_barcelona_cat""",100,"This is an event called 'Doors open to the hive or Consumer Community of Guinardó - Casa Verde', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""The Rusc Guinardó - Casa Verde will open its doors to accommodate the neighbors of the neighborhood during the collection of local products by consumers of this consumer community. The producer will be present: The Little Banese (Pagès del Maresme)And a small tasting will be offered. 
At a more global level, the hive that says yes!During the Mobility Week, the bicycle delivery of all the orders of the different hives of Barcelona, ​​with a discount on the price of the service. ""
At Calle Garriga i Roca, 8 08041 Barcelona from 17:00 to 20:00
Registration for ""Rusc Guinardó Web - Casa Verde

(Linked to: https://lacolmenaquedicesi.es/ca-es/assembies/12760?utm_campaign=ua-ES&utm_medium=partner&utm_Source=ajuntament_Barcelona_cat ""'"
101,"Barcelona, Spain",Aqüeductes i mobilitat,"""Farem 17 parades amb el BUS D50, per anar d’aqüeducte en aqüeducte, infraestructures clau per a la mobilitat i l'abastament de l'aigua a la ciutat. Després, berenarem a Font Muguera i buscarem 17 raons per tal de millorar la
mobilitat.""
a l'Aqüeducte del Parc Central de  Nou Barris, carrer Torrent de Can Carreres, cruïlla Fabra i Puig. de 9.30 a 12 h
cal inscripció a Tel. 934 637 771  / casadelaiguadt8@bcn.cat",101,"This is an event called 'Aqueducts and mobility', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""We will make 17 stops with the D50 bus, to go from aqueduct in aqueduct, key infrastructure for mobility and water supply in the city. Then we will have a snack in Font Muguera and look for 17 reasons to improve the
mobility. ”
In the aqueduct of the Central Park of Nou Barris, Torrent de Can Carreres street, Cruïlla Fabra i Puig.9.30am to 12pm
Registration is required at Tel.934 637 771 / Casadelaiguadt8@bcn.cat'"
102,"Barcelona, Spain",Tornada a l'escola en bicicleta: mobilitat sostenible per a les famílies,"Activitat que té l'objectiu de mostrar als pares i les famílies els beneficis de portar els seus fills en bicicleta a l'escola, com a opció saludable i segura per al transport escolar.
a Plaza Bonanova de 8 a 10 h i de 14 a 17 h",102,"This is an event called 'Return to Bicycle School: Sustainable Mobility for Families', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Activity that aims to show parents and families the benefits of biking their children to school, as a healthy and safe option for school transport.
to Plaza Bonanova from 8 a.m. to 10 p.m. to 2 p.m.'"
103,"Barcelona, Spain",Al Nou Patufet ens movem amb Gràcia!,"Celebrem la Setmana de la Mobilitat Sostenible amb un circuit de patinets i espais de jocs tradicionals amb activitats dinamitzades per l’alumnat d’ESO.
a c/Bruniquer, 25 de 9:15-12:45",103,"This is an event called 'In the new Patufet we move with grace!', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We celebrate Sustainable Mobility Week with a scooter circuit and traditional game spaces with activities energized by ESO students.
A C/Bruniquer, 25 of 9: 15-12: 45'"
104,"Barcelona, Spain","llançament del projecte de ciència ciutadana ""Stop Bike Theft""","L'activitat és un llançament del projecte de ciència ciutadana ""Stop Bike Theft"" per conscienciar sobre robatoris de bicicletes a Barcelona. Organitzem, juntament amb les cooperatives CUBIC i Aquí, un llançament per presentar treballs previs, iniciar un debat obert amb la ciutadania i fer una crida a l'acció mitjançant la presentació de la nostra campanya contra robatoria de bicicletes. L'activitat inclourà, una hora de presentacions, 30 min de col·loqui i 30 min d'activitats participatives com ara contacontes i mapeig d'activitats ciclistes a la ciutat.
Espai de CUBIC: Carrer del Progrés, 35, Gràcia, 08012 Barcelona de 18h-20h",104,"This is an event called 'launch of the citizen science project ""Stop Bike Theft""', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The activity is a launch of the ""Stop Bike Theft"" citizen science project to raise awareness of bicycle robberies in Barcelona.We organize, together with the Cubic cooperatives and here, a launch to present previous work, start an open debate with the citizenry and call on the action by presenting our campaign against theft of bicycles.The activity will include an hour of presentations, 30 minutes of colloquium and 30 minutes of participatory activities such as storytelling and mapping cycling activities in the city.
Cubic space: Carrer del Progrés, 35, Gràcia, 08012 Barcelona from 18h-20h'"
105,"Barcelona, Spain",Portes Obertes al Rusc o comunitat de consum de Gràcia - Pasta i Gra,"El Rusc de Gràcia - Pasta i Gra obrirà les seves portes per acollir els veïns del barri durant la recollida de cistelles de productes locals per part dels consumidors d'aquesta comunitat de consum. Hi haurà present la productora de Kibusbeer (elaboradora de cervesa artesana) i s'oferirà un petit tast. A un nivell més global, El Rusc Que Diu Sí! potenciarà durant la Setmana de la Mobilitat l'entrega a domicili en bicicleta de totes les comandes dels diferents Ruscs de Barcelona, amb un descompte en el preu del servei.
a C. Providència 152 08024 Barcelona De 17:00 a19:30h
""web d'El Rusc de Gràcia - Pasta i Gra 

(enllaçat a https://lacolmenaquedicesi.es/ca-ES/assemblies/10747?utm_campaign=ua-es&utm_medium=partner&utm_source=ajuntament_barcelona_cat""",105,"This is an event called 'Doors open to the hive or Grace Consumer Community - Pasta and Gra', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Gràcia - Pasta and Gra Ruba will open its doors to house neighbors in the neighborhood during the collection of local products by consumers in this consumer community.There will be a producer of Kibusbeer (craft beer maker) and a small tasting will be offered.At a more global level, the hive that says yes!During the Mobility Week, the bicycle delivery of all the orders of the different hives of Barcelona, ​​with a discount on the price of the service.
to C. Providence 152 08024 Barcelona from 17:00 to19: 30h
""El Rusc de Gràcia website - Pasta i Gra

(Linked to https://lacolmenaquedicesi.es/ca-es/assembies/10747?utm_campaign=ua-ees&utm_medium=partner&utm_source=ajuntament_Barcelona_cat ""'"
106,"Barcelona, Spain",Converteix un palet en un aparcament de bicicletes,"Vine a l'Ateneu de Fabricació de Ciutat Meridiana i dóna-li una segona vida a un palet per incentivar l'ús de la bicicleta. Converteix un palet en un aparcament per a bicicletes per al teu espai, entitat, centre o per casa teva!
a Ateneu de Fabricació de Ciutat Meridiana. Av. Rasos de Peguera, 232 08033 BCN de 10 a 13 h
Cal inscripció prèvia a https://forms.gle/mbkvaiykNDeRkEb36 / afabciutatmeridiana@bcn.cat / 93 269 51 56",106,"This is an event called 'Turns a pallet into a bicycle parking lot', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Come to the Ateneo de Fabricación de Ciutat Meridiana and give a second life to a pallet to encourage the use of the bicycle.Turn a pallet into a bicycle parking lot for your space, entity, center or your home!
in Ateneo de Fabricación de Ciutat Meridiana.Av.Rasos de Peguera, 232 08033 BCN from 10 a.m. to 1 p.m.
Prior registration is required at https://forms.gle/mbkvaiyknderkeb36/fabciutatmeridiana@bcn.cat/93 269 51 56'"
107,"Barcelona, Spain",Portes Obertes al Rusc o comunitat de consum Nou Barris - Biotenatural,"""El Rusc de Nou Barris - Biotenatural obrirà les seves portes per acollir els veïns del barri durant la recollida de cistelles de productes locals per part dels consumidors d'aquesta comunitat de consum. Hi hauran presents els productors: El Tros de l’Uri (pagès del Maresme) i Anècdota (productor d’oli d’oliva v.e.) i s'oferirà un petit tast. 
A un nivell més global, El Rusc Que Diu Sí! potenciarà durant la Setmana de la Mobilitat l'entrega a domicili en bicicleta de totes les comandes dels diferents Ruscs de Barcelona, amb un descompte en el preu del servei.""
a Alsàcia, 14 tienda 2 08042 Barcelona De 17:00 a 20:00h
""web del Rusc de Nou Barris - Biotenatural

(enllaçat a https://lacolmenaquedicesi.es/ca-ES/assemblies/14529?utm_campaign=ua-es&utm_medium=partner&utm_source=ajuntament_barcelona_cat""",107,"This is an event called 'Doors open to the hive or Nou Barris Consumer Community - Biotenural', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""The Nou Barris - Biotenatural Hive will open its doors to accommodate the neighbors in the neighborhood during the collection of local products by consumers in this consumer community. The producers will have been present: the piece of the URI (Pagès del Maresme) and anecdote (olive oil producer V.E.) and a small tasting will be offered. 
At a more global level, the hive that says yes!During the Mobility Week, the bicycle delivery of all the orders of the different hives of Barcelona, ​​with a discount on the price of the service. ""
In Alsace, 14 Tienda 2 08042 Barcelona from 17:00 to 20:00
""Nou Barris - Biotenural Hive website

(Linked to https://lacolmenaquedicesi.es/ca-es/assembies/14529?utm_campaign=ua-ES&utm_medium=partner&utm_Source=ajuntament_Barcelona_cat ""'"
108,"Barcelona, Spain",Circuit de patinets i decoració de l'asfalt,"Circuit amb patinets i cons, decorem el nostre asfalt (amb guixos de colors), ens convertim en artistes omplint el nostre carrer (murals) i fem el camí dels sentits
a C/Emili Roca, 58-60, el tram de pg Fabra i Puig fins al carrer Alella. De 9.30 a 13 h
Els tallers es faran amb els infants d'I3, I4 i I5 del segon cicle d'infantil.",108,"This is an event called 'Skateboard circuit and asphalt decoration', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Circuit with scooters and cones, we decorate our asphalt (with colored plaster), we become artists filling our street (murals) and we make the path of the senses
At C/Emili Roca, 58-60, the section of Pg Fabra i Puig to Alella Street.9.30am to 1pm
The workshops will be held with the children of I3, I4 and I5 of the second cycle of children.'"
109,"Barcelona, Spain","Bicicletada: ""Pelotón Baró""","Prepara la bicicleta i el casc per participar en aquesta sortida ciclista familiar per la llera del riu Besòs. Una bicicletada en tota regla: escalfaments, dorsals, punt d’avituallament, arribada a meta i fi de festa. Vine a formar part del ""Pelotón Baró""!
a C/Quito 8-10, plaça del centre cívic a partir de 18:00h
Trobada a la plaça. Després,ens dirigirem cap a la llera del riu Besòs on es farà un trosset d'itinerari i de tornada desfarem el camí.
Cal inscripció prèvia mitjançant el web, via mail info@ccbarodeviver.cat o telefònicament 93 256 50 97",109,"This is an event called 'Bicycle: ""Pelotón Baró""', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Prepare the bicycle and the helmet to participate in this family cycling exit on the riverbed of the Besòs river.A bicycle in full rule: warm -ups, bibs, refreshment point, finish at the finish and end of party.Come be part of the ""Pelotón Baró""!
at C/Quito 8-10, Plaza del Civic Center from 18:00
Meeting in the square.Then, we will head to the riverbed of the Besòs river where a piece of itinerary will be made and back we will undo the path.
Prior registration is required through the website, via mail info@ccbarodeviver.cat or telephone 93 256 50 97'"
110,"Barcelona, Spain",Exposició Compartim l’espai públic,"Exposicions documentals d'infantil i adults per sensibilitzar i visibilitzar  els beneficis que comporta la mobilitat segura, saludable i sostenible i  els usos alternatius de l’espai que habitualment ocupen els vehicles.
C/Estadella, 64 Dins de l'horari de la biblioteca: Dilluns i divendres de 15 a 20h. Dimecres de 9.30 a 20h. Dimarts i dijous de 9.30a 13.30h i de 15 a 20h
Exposició  Compartim l’espai públic del 9 al 22 de setembre",110,"This is an event called 'Exhibition we share the public space', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Documentary exhibitions of children and adults to raise awareness and make visible the benefits of safe, healthy and sustainable mobility and the alternative uses of the space that the vehicles usually occupy.
C/Estadella, 64 within the library hours: Monday and Friday from 3pm to 8pm.Wednesday from 9.30am to 8pm.Tuesday and Thursday from 9.30a 13.30h and from 15 to 20h
Exhibition We share the public space from 9 to 22 September'"
111,"Barcelona, Spain",Ocupem l'espai públic,"Volem fer ús de l'espai públic, que alhora és un entorn escolar.Ens agradaria fer un dia de joc al carrer on puguem compartir jocs tradicionals amb infants i famílies.
Carrer Muntanya ( Entre Mallorca i Vidiella). de 9:30-11:00",111,"This is an event called 'We occupy public space', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We want to use public space, which is also a school environment, and we would like to play a street play where we can share traditional games with children and families.
Muntanya Street (between Mallorca and Vidiella).of 9: 30-11: 00'"
112,"Barcelona, Spain",Explora el Poblenou a YEGO,"YEGO organitza un tour guiat pel Poblenou per descobrir (o redescobrir) el barri d'una manera divertida i ecològica.
Bogatell - Marina (es concretarà el punt de sortida amb la inscripció)
a 11:00
Es necessita inscripció prèviai al web https://rideyego.com/ca",112,"This is an event called 'Explore Poblenou in Yego', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Yego organizes a tour guided by Poblenou to discover (or rediscover) the neighborhood in a fun and ecological way.
Bogatell - Marina (the starting point will be specified with the inscription)
at 11:00
Previous registration is needed at https://rideyego.com/ca'"
113,"Barcelona, Spain",Circuit d'habilitat Gimcana Infantil,"Circuit d'habilitat en bicicleta per als més petits, amb tot un seguit de carrils, senyalitzacions, petites rampes perquè els més petits tinguin els primers contactes amb la bicicleta urbana.
a Carrer Zamora, 113 de 16h a 19h",113,"This is an event called 'Children's Gymkhana Skill Circuit', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Bicycle skill circuit for the little ones, with a whole series of lanes, signs, small ramps for the little ones to have the first contacts with the urban bicycle.
At Zamora Street, 113 from 4pm to 7pm'"
114,"Barcelona, Spain",Circuit d'habilitat + ITB (Inspecció tècnica de la bicicleta),"Circuit d’obstacles de sentit únic i obligatori on els nens  i nenes han de superar proves d’habilitat seguint les senyalitzacions de direcció (pujades, baixades, balancins, camins estrets, banderoles,…). L’activitat està pensada per tal que la canalla la faci per torns amb bici pròpia o bé amb les que inclou el circuit. Disposem també al costat del circuit d'un punt ITB de la bicicleta per facilitar una revisió de les necessitats i reparacions i/o manteniments de les bicicletes dels participants, informar-los de l'estat i participant en alguna petita reparació.
Plaça Valentí Almirall de 16h a 19h",114,"This is an event called 'Skill Circuit + ITB (Technical Bicycle Inspection)', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Circuit of unique and obligatory obstacles where children must pass skill tests following the direction signs (ascents, descents, rockers, narrow roads, flags, ...).The activity is intended for the scoundrel to make it in its own bike shifts or with which it includes the circuit.We also have next to the circuit of an ITB point of the bicycle to facilitate a review of the needs and repairs and/or maintenance of the participants' bicycles, inform them of the state and participate in a small repair.
Valentí Almirall Square from 4pm to 7pm'"
115,"Barcelona, Spain",La mobilitat al Bernat,"Ocupem l'espai per reivindicar la pacificació de l'entorn escolar mitjançant  activitats educatives
c/ Menorca55 de 9.00 a13.30h",115,"This is an event called 'Mobility at Bernat', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We occupy the space to claim the pacification of the school environment through educational activities
C/ Menorca55 from 9.00 to13.30h'"
116,"Barcelona, Spain",EL DISSENY SOSTENIBLE DE LA CLARIANA,"""Ruta per descobrir els elements urbanístics del nou parc.
Passejarem per conèixer quines solucions sostenibles s’han implementat en la transformació d’aquest històric nus viari. Identificarem els Sistemes Urbans de Drenatge Sostenible (SUDS); els nodes de biodiversitat que milloren la connectivitat de l’eix verd Sagrera-Ciutadella i les millores en mobilitat.""
Punt de trobada: Gran clariana de la Plaça de les Glòries, prop de la zona de jocs infantils a 16.30 h
Cal inscripció prèvia  https://inscripcions.cccandeu.com/MiramModular/buscador/buscador.jsp?g=1&c=44&a=5419",116,"This is an event called 'The Sustainable Design of the Clariana', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""Route to discover the urban elements of the new park.
We will stroll to find out what sustainable solutions have been implemented in the transformation of this historic road junction.We will identify urban sustainable drainage systems (souths);The biodiversity nodes that improve the connectivity of the Sagrera-Ciutadella green axis and the improvements in mobility. ""
Meeting point: Great clearing of Plaça de les Glòries, near the children's play area at 4.30pm
Prior registration is required https://inscriptions.cccandeu.com/mirammodular/buscador/buscador.jsp?g=1&C=44&a=5419'"
117,"Barcelona, Spain",Portes Obertes al Rusc o comunitat de consum de Poblenou - La Insòlita,"""El Rusc de Poblenou - La Insòlita obrirà les seves portes per acollir els veïns del barri durant la recollida de cistelles de productes locals per part dels consumidors d'aquesta comunitat de consum.  Es realitzarà la presentació del llibre Bioregiones, amb l'autor José Luis Fdes. Casadevante """"Kois""""
A un nivell més global, El Rusc Que Diu Sí! potenciarà durant la Setmana de la Mobilitat l'entrega a domicili en bicicleta de totes les comandes dels diferents Ruscs de Barcelona, amb un descompte en el preu del servei.""
De la Ciutat de Granada, 76 08005 Barcelona De 17:00 a 19:30h (a les 18:00h presentació del llibre)


""web del Rusc del  Poblenou - La Insòlita

(enllaçat a: https://lacolmenaquedicesi.es/ca-ES/assemblies/11456?utm_campaign=ua-es&utm_medium=partner&utm_source=ajuntament_barcelona_cat""",117,"This is an event called 'Doors open to Poblenou - the unusual hive or community of consumption', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '""The Poblenou - the unusual hive will open its doors to accommodate the neighbors of the neighborhood during the collection of local products by consumers of this consumer community. The presentation of the Bioregiones book will be made, with the author JoséLuis Fdes.
At a more global level, the hive that says yes!During the Mobility Week, the bicycle delivery of all the orders of the different hives of Barcelona, ​​with a discount on the price of the service. ""
Of the city of Granada, 76 08005 Barcelona from 17:00 to 19:30 (at 18: 00h Presentation of the book)


""Poblenou hive website - the unusual

(Linked to: https://lacolmenaaquedicesi.es/ca-es/assembies/11456?utm_campaign=ua-ees&utm_medium=partner&utm_Source=ajuntament_Barcelona_cat ""'"
118,"Barcelona, Spain",Park(ing) day,"Parking day :
Diferents activitats - d'entitats, equipaments, escoles i empreses - relacionades amb la mobilitat sostenible.",118,"This is an event called 'Park(ing) day', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Parking Day:
Different activities - of entities, facilities, schools and companies - related to sustainable mobility.'"
119,"Barcelona, Spain","Portes obertes dels equipaments de la ciutat relacionades amb la mobilitat els dies  13,14 i 15 de setembre.","Portes obertes dels equipaments de la ciutat relacionades amb la mobilitat els dies  13,14 i 15 de setembre.",119,"This is an event called 'Open doors of the city's facilities related to mobility on September 13.14 and 15.', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Open doors of the city's facilities related to mobility on September 13.14 and 15.'"
120,"Begues, Spain",Difusió de consells de mobilitat sostenible a través de xarxes socials,"Es preveu fer difusió de consells de mobilitat sostenible cada dia durant tota la setmana, a través de les xarxes socials municipals",120,"This is an event called 'Dissemination of sustainable mobility tips through social networks', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'It is planned to disseminate sustainable mobility tips every day throughout the week, through municipal social networks'"
121,"Begues, Spain",Descobrim Torres Vilaró,"18:00h Vine en bicicleta o patinet i resol el joc de preguntes i enigmes que s'amaguen a l'avinguda Torres Vilaró. Per a fer individualment o en família.
19.00 h,  Xocolatada. A Porta Llevant (av. Torres Vilaró, 64).
En acabar, pedalada popular fins al Raval de Sant Martí.",121,"This is an event called 'Discover Torres Vilaró', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '18: 00h Come by bicycle or scooter and solve the game of questions and riddles that are hidden on Avenida Torres Vilaró.To do individually or as a family.
19.00 h, chocolate.To the Levant door (Av. Torres Vilaró, 64).
At the end, popular pedal to the suburb of Sant Martí.'"
122,"Belianes, Spain",Caminada popular,No description available,122,"This is an event called 'Popular hike', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
123,"Bellcaire d'Urgell, Spain",Bicicletada,Es fa una bicicletada a l'escola.,123,"This is an event called 'Bicycle', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'A bicycle is made at school.'"
